thanh_ngu_tieng_trung,phien_am,am_han_viet,ket_cau_hinh_thuc,ket_cau_ngu_phap,sac_thai_bieu_cam,chu_de,cach_dung,nghia,vi_du_tieng_trung,vi_du_tieng_viet,tu_can_nghia,tu_trai_nghia,nguon_goc_thanh_ngu,cau_chuyen_thanh_ngu
待时守分,dài shí shǒu fèn,đãi thì thủ phận,,Chính phụ,Tích cực,,"Làm vị ngữ, định ngữ; chỉ việc chờ đợi thời cơ.","Đãi: chờ đợi; thời: thời cơ; phận: bổn phận.
Tạm thời sống yên phận để chờ đợi thời cơ tốt.",明·无名氏《闹铜台》第二折：“我如今装醉如痴，推聋做哑，待时守分。”,"Minh – Vô danh thị, Nao Đồng Đài hồi thứ hai: “Nay ta giả say giả dại, giả điếc làm ngơ, chờ thời giữ phận.”",,,"""Nguyên - Quan Hán Kinh trong 'Bồi Độ Hoàn Đới' hồi 1: 'Suy nghĩ xem, khi người ta chưa đạt được thành công, thì phải biết chờ đợi thời cơ và giữ vững vị trí, khi nào mới đến lúc tôi có thể phát đạt đây!'""",
待时而举,dài shí ér jǔ,đãi thì nhi cử,,Chính phụ,Tích cực,,Làm vị ngữ; chỉ việc chờ đợi thời cơ rồi mới hành động.,"Đãi: chờ đợi; cử: hành động.
Chờ đợi thời cơ thuận lợi rồi mới tiến hành hành động.",,,待时而动,,"""Minh - Phùng Mộng Long trong 'Đông Chu Liệt Quốc Chí' hồi 69: 'Nhà vua biết rõ sự thịnh suy của vận mệnh trời, hiểu được cơ hội và sự biến chuyển của thời cuộc, vì vậy đã nuôi quân và luyện tướng, chờ đợi thời cơ để hành động.'""",
待时而动,dài shí ér dòng, đãi thì nhi động,,Chính phụ,Tích cực,,Làm vị ngữ; chỉ việc chờ đợi thời cơ rồi mới hành động.,"Thời: thời cơ.
Chờ đợi thời cơ rồi mới hành động.",昭王深自韬晦，养兵恤民，待时而动。（明 冯梦龙《东周列国志》第九十五回）,"Vua Chiêu thận trọng ẩn mình, nuôi binh yêu dân, chờ thời mà hành động. (Minh – Phùng Mộng Long, Đông Chu Liệt Quốc Chí, hồi thứ 95)",相机而行、待时而举,,"""《Chu Dịch - Hệ Dị Hạ》: 'Quân tử giấu khí giới trong người, chờ đợi thời cơ để hành động.'""",
待月西厢,dài yuè xī xiāng, đãi nguyệt tây sương,,Chính phụ,Tích cực,Thành ngữ về phía Tây,"Làm tân ngữ, định ngữ; chỉ việc tình nhân hẹn gặp riêng.","Chỉ việc tình nhân hẹn hò riêng tư, bí mật gặp nhau.",分明访贤东阁，已成待月西厢。★《玉娇梨》第九回,"Rõ ràng là đến Đông Các để tìm người hiền, nhưng lại thành ra đợi trăng ở Tây Sương.
★ Ngọc Kiều Lê, hồi thứ chín.",,,"""Đường - Nguyên Chẩn trong bài thơ 'Nguyệt Minh Tam Ngũ Dạ': 'Đợi trăng dưới hiên tây, đón gió cửa mở nửa. Vạt hoa lay động trên tường, nghi ngờ là người đẹp đến.'""",
待机再举,dài jī zài jǔ,đãi cơ tái cử,,Chính phụ,Tích cực,,"Làm vị ngữ, tân ngữ; dùng trong xử sự.","Cử: hành động.
Chờ đợi thời cơ rồi mới hành động.",,,待时而举,,"""Mục Hân trong 'Nam Tuyến Tuần Hồi - Việt Quế Đại Vây Tiễu Chiến': 'Ông ta đã từng tưởng tượng... bảo vệ lại phần lực lượng còn lại, chờ đợi thời cơ để tiếp tục hành động.'""",
待理不理,dài lǐ bù lǐ, đãi lí bất lí,ABCB,Liên hợp,Tích cực,Thành ngữ về sự lạnh nhạt,"Làm vị ngữ, định ngữ; chỉ thái độ lạnh nhạt.","Làm như có quan tâm mà thật ra không để ý.
Miêu tả thái độ lạnh nhạt đối với người khác.",周立波《暴风骤雨》第二部：“张寡妇待理不理地，跟萧队长淡淡地打一个招呼。”,"Chu Lập Ba – Bão Táp Mưa Sa phần hai: “Bà góa họ Trương lạnh nhạt, hờ hững chào đội trưởng Tiêu một tiếng.”",待答不理,,"""Thanh - Cao Tuyết Tinh trong 'Hồng Lâu Mộng' hồi 95: 'Hai đại gia, các ông lúc này thấy tôi nghèo, nhưng khi tôi kiếm được bạc, tôi sẽ thành ông chủ giàu có. Đừng có đối xử với tôi như vậy.'""",
待答不理,dài dā bù lǐ,đãi đáp bất lí ,,Liên hợp,Tiêu cực,Thành ngữ về sự lạnh nhạt,"Làm vị ngữ, định ngữ; chỉ thái độ lạnh nhạt.","Chỉ việc đối xử với người khác bằng thái độ hờ hững, không nhiệt tình.",王朔《痴人》：“她变得很怪，不大说话，象影子似地悄悄来悄悄走，总是若有所思地坐在那里出神，对谁都是待答不理的。”,"Vương Sách – Kẻ Si Tình: “Cô ấy trở nên rất kỳ lạ, ít nói, lặng lẽ đến rồi lặng lẽ đi như một cái bóng, luôn ngồi đó đăm chiêu như đang suy nghĩ điều gì, đối với ai cũng đều hờ hững, chẳng buồn đáp lời.”",爱理不理、待搭不理,,"""Băng Tâm trong 'Nam Quy': 'Người trong công ty trả lời một cách không mấy quan tâm: 'Không biết tàu đang dừng ở đâu, có lẽ là chưa tới!'""",
待诏公车,dài zhào gōng chē,đãi chiếu công xa ,,Chính phụ,Tích cực,Thành ngữ về chiến xa,"Làm tân ngữ, định ngữ; dùng trong văn viết.","Chiếu: mệnh lệnh của hoàng đế; công xa: xe công hoặc cơ quan chính phủ.
Chỉ việc ở tại công xa hoặc quan phủ, sẵn sàng chờ lệnh triệu gọi của hoàng đế.",,,,,"""Đông Hán - Ban Cố trong 'Hán Thư - Đông Phương Sóc Truyện': 'Sóc có văn từ không tôn trọng, tự cao tự đại, hoàng đế khen ngợi ông, sai ông chờ đợi ở công xa, nhưng lương bổng ít ỏi, chưa được diện kiến.'""",
待贾而沽,dài jiǎ ér gū,đãi giả nhi cô,,Chính phụ,Tích cực,,"Làm vị ngữ, tân ngữ, định ngữ; chỉ việc chờ đợi thời cơ.","Chờ được giá tốt mới bán, cũng dùng để ẩn dụ người có tài năng chờ được trọng dụng hoặc chờ thời cơ hành động.
Cũng viết là “đãi giá nhi cô”.",,,待价而沽、善贾而沽,,"""Trích từ 'Luận Ngữ - Tử Hàn': 'Tử Cống nói: 'Có một viên ngọc đẹp ở đây, có nên để trong hộp kín và giấu đi, hay là tìm người mua để bán nó?' Khổng Tử đáp: 'Bán đi! Bán đi! Tôi đang chờ người mua.'""",
怠惰因循,dài duò yīn xún,đãi nọa nhân tuần,,Liên hợp,Tiêu cực,Thành ngữ về sự lười nhác chểnh mảng,"Làm vị ngữ, định ngữ; dùng trong xử thế.","Đãi đóa: chểnh mảng, lười biếng.
Nhân tuần: trì hoãn, dây dưa.
Miêu tả thái độ lười nhác, làm việc chậm chạp, không dứt khoát.",,,,,"""Đường - Hàn Yu trong 'Đáp Uyển Thị Dụ Thư': 'Mong muốn tận hết khả năng học hỏi, nhưng công việc và sự ràng buộc khiến tôi không thể tiếp tục theo đuổi sự thanh tịnh, sự lười biếng và thói quen trì trệ khiến tôi không thể tự lực.'""",
戴发含牙,dài fā hán yá,đái phát hàm nha ,,Liên hợp,Tích cực,"Thành ngữ về tóc
Thành ngữ về tai
Thành ngữ về con người","Làm vị ngữ, định ngữ; chỉ loài người.",Mọc tóc và có răng. Chỉ con người.,,,戴发含齿,,"""Thanh - Hồng Thăng trong 'Trường Sinh Điện - Mắng Cướp': 'Lôi Hải Thanh à! Nếu không gánh vác một vai thì không uổng công là người đội tóc và ngậm răng như ta. Chỉ cần giữ vững trật tự, không có gì sai sót, dù chết chín lần cũng cam lòng.'""",
戴发含齿,dài fā hán chǐ,đái phát hàm xỉ ,,Liên hợp,Tích cực,"Thành ngữ về tóc
Thành ngữ về tai
Thành ngữ về con người","Làm vị ngữ, định ngữ; chỉ loài người.","Mọc tóc và có răng. Chỉ con người.
Thường dùng để nói giảm, hàm ý “dù sao cũng là người” hoặc “nếu là người thì…”.",丁宁丁宁，戴发含齿。★前蜀·贯休《续姚梁公坐右铭》,"Dặn dò kỹ lưỡng, răn dạy ân cần, là người thì phải biết điều.
★ Tiền Thục – Quán Hưu, Tục Dao Lương Công Tọa Hữu Minh",戴发含牙、戴眉含齿,,"""《Liệt Tử - Hoàng Đế》: 'Có thân thể cao bảy thước, tay chân khác biệt, đội tóc ngậm răng, dựa vào và đi, gọi là người, nhưng người chưa chắc không có tâm thú. Dù có tâm thú, nhưng qua hình dáng thì vẫn có sự thân thuộc.'""",
戴圆履方,dài yuán lǚ fāng,đái viên lí phương,,Liên hợp,Tích cực,,Làm vị ngữ; đồng nghĩa với “đội trời đạp đất”.,"Lý: giẫm lên; viên, phương: người xưa cho rằng trời tròn đất vuông.
Đầu đội trời, chân đạp đất. Chỉ việc sống trên trần gian, giữa thế gian.",,,戴天履地,,"""《Hoài Nam Tử - Bản Kinh Huấn》: 'Đội giày tròn, mang ủng vuông, ôm bảng, mang dây thừng.'""",
戴大帽子,dài dà mào zǐ,đái đại mạo tử,,Động tân,Tích cực,,"Làm vị ngữ, tân ngữ; chỉ việc quy tội cho người khác.","Ẩn dụ việc gán cho người khác một tội danh phóng đại, quá mức.",她最喜欢给人戴大帽子,Cô ấy thích nhất là gán cho người khác những tội danh nặng nề.,乱扣帽子,,"""Thanh - Lý Bảo Gia trong 'Quan Trường Hiện Hình Ký' hồi 18: 'Trung Thừa mặc một chiếc áo khoác, cũng không đội mũ lớn.'""",
戴天履地,dài tiān lǚ dì,đái thiên lí địa,,Liên hợp,Tích cực,Thành ngữ về ân,"Làm vị ngữ, định ngữ; chỉ con người sống giữa trời đất.","Đội: đỉnh trời; lý: bước, giẫm lên đất.
Đầu đội trời, chân đạp đất. Miêu tả con người sống giữa trời đất. Ẩn dụ cho ân đức sâu rộng, như trời cao đất dày.",梁启超《变法通议·学校总论》：“同是圆颅方趾，戴天履地，而必事事俯首拱手，待命他人。”,"Lương Khải Siêu – Biến Pháp Thông Nghĩa · Tổng Luận Trường Học: “Cùng là đầu tròn chân vuông, đội trời đạp đất, nhưng lại phải cúi đầu, chắp tay, chờ lệnh người khác trong mọi việc.”",戴天蹐地,,"""《Tả Truyền - Hi Công năm thứ 15》: 'Tướng quân nước Tấn ba lần cúi đầu và nói: 'Ngài bước trên đất, đội trời, trời và đất đều là lời của ngài. Các quan văn võ xin cúi đầu dưới gió.'""",
戴天蹐地,dài tiān sāi dì,đái thiên tích địa,,Liên hợp,Tích cực,Thành ngữ về ân,"Làm vị ngữ, tân ngữ; chỉ con người sống giữa trời đất.","Vẫn là đội trời đạp đất. Đầu đội trời, chân đạp đất. Miêu tả con người sống giữa trời đất. Ẩn dụ cho ân đức sâu rộng, như trời cao đất dày.",,,戴清履浊,,"""Minh - Phương Hạo Nhượng trong 'Mộ Biện của Cao Trúc Sĩ': 'Tổ tiên của chúng tôi, nối tiếp làm dân của triều đại Tống, đội trời đạp đất, nhận được ân đức và phúc lợi suốt hơn ba trăm năm.'""",
戴头而来,dài tóu ér lái,đái đầu nhi lai,,Chính phụ,Tích cực,Thành ngữ về sự dũng cảm,Làm vị ngữ; dùng trong xử sự.,"Đội: đội trên đầu.
Đội đầu mà đến. Miêu tả vẻ mặt không sợ hãi, can đảm đối diện với mọi tình huống.",,,,,"""Đường - Lưu Tông Nguyên trong 'Đoạn Thái Uy Ích Sự Trạng': 'Người áo giáp đi ra, Thái Uy cười và đi vào, nói: 'Giết một tên lính già, có gì to tát? Ta đã đội đầu mà đến đây rồi.'""",
戴头识脸,dài tóu shí liǎn,đái đầu thức kiểm,,Liên hợp,Tích cực,Thành ngữ về sự kính trọng,"Làm vị ngữ; chỉ có thân phận, địa vị.","Ẩn dụ cho việc có danh tiếng, có địa vị xã hội, được người khác tôn trọng và kính nể.",你这客人好不君子相，戴头识脸的，也这般罗唣！（明 施耐庵《水浒全传》第十六回）,"""Khách của ngươi không có phong độ của một quân tử, đội đầu nhận mặt, cũng cứ như thế mà làm ồn!""
(Minh – Thị Nại Án, Thủy Hử Toàn Truyện, hồi thứ mười sáu)",有头有脸,,"""Minh - Thí Nại Am trong 'Thủy Hử Toàn Truyện' hồi 16: 'Người khách này thật không giống quân tử, nhìn mặt nhận người, lại còn ăn nói kiểu này!'""",
戴日戴斗,dài rì dài dòu,đái nhật đái đẩu,,Liên hợp,Tích cực,"Thành ngữ về trời
Thành ngữ về đất","Làm tân ngữ, chủ ngữ; chỉ ""dưới trời đất"" (toàn cõi).","Cũng có nghĩa là ""dưới trời đất"" (toàn cõi).",‘戴日戴斗’就是‘普天之下’的意思。★方长《关于》,"“Đội nhật đội đấu” chính là ý nghĩa của ""phổ thiên chi hạ"" (dưới trời đất).
★ Phương Trường, Về việc",,,"""Nam Triều - Lương - Giản Văn Đế trong 'Tự': 'Đội trời đội đất, mọi thứ đều đến với vua.'""",
戴星而出,dài xīng ér chū,đái tinh nhi xuất,,Chính phụ,Tích cực,Thành ngữ về sự chăm chỉ cầu tiến,"Làm vị ngữ, định ngữ; dùng trong cuộc sống.","Đội: đội trên đầu.
Ra ngoài khi trời chưa sáng. Miêu tả người rất chăm chỉ, làm việc siêng năng từ sáng sớm.",,,披星戴月,,"""Tống - Tô Thức trong 'Đông Pha Ứng Chiếu Tập - Sách Biệt': 'Người hiện tại làm quan ở Kinh Triều, ra ngoài như đội sao, vào nhà như thấy ánh nến, sáng sớm ra tối muộn mới về.'""",
戴月披星,dài yuè pī xīng,đái nguyệt phi tinh,,Liên hợp,Tích cực,Thành ngữ về sự chăm chỉ cầu tiến,"Làm vị ngữ; chỉ việc dậy sớm làm việc khuya, thức khuya dậy sớm.","Mặc sao trên người, đội trăng trên đầu. Miêu tả việc ra ngoài sớm, về muộn, làm việc chăm chỉ, hoặc đi suốt ngày đêm, cuộc hành trình vất vả.",真是个迎风冒雪，戴月披星。（明 吴承恩《西游记》第四十四回）,"Quả thật là người dũng cảm đối mặt với gió rét, đội trăng, mặc sao.
(Minh – Ngô Thành Ân, Tây Du Ký, hồi thứ 44)
Câu này miêu tả một người kiên cường, bất chấp mọi khó khăn, vất vả trong cuộc hành trình.",日夜兼程、披星戴月、起早贪黑,,"""Nguyên - Vô Danh trong 'Oán Gia Chất Chủ' hồi 1: 'Đứa trẻ lớn đội sao đeo trăng, dậy sớm ngủ muộn.'""",
戴清履浊,dài qīng lǚ zhuó, đái thanh lí trọc,,Liên hợp,Tích cực,,"Làm vị ngữ, tân ngữ; chỉ con người sống giữa trời đất.","Vẫn là đội trời đạp đất.
Trong tiếng Trung, ""thanh"" chỉ trời, ""trọc"" chỉ đất. Miêu tả con người sống giữa trời đất, hoặc cũng ám chỉ sự cân bằng giữa hai yếu tố vũ trụ.",,,戴天蹐地,,"""Tiền Thục - Độ Quang Đình trong 'Đô Giám Tướng Quân Chu Thiên Tiêu Từ': 'Kính nhớ đeo giày sạch, bước trên đất bẩn, sống trong đời, lập thân, phục vụ chủ, hiếu kính với cha mẹ, lo việc nước nhà, dù trung thành, kiên định, cẩn trọng trong công việc, nhưng phúc lộc khó đạt được, lỗi lầm và sai phạm dễ dàng tích tụ.'""",
戴玄履黄,dài xuán lǚ huáng,đái huyền lí hoàng,,Liên hợp,Tích cực,,"Làm vị ngữ, tân ngữ; chỉ con người sống giữa trời đất.","Vẫn là đội trời đạp đất. ""Huyền"" chỉ trời, ""hoàng"" chỉ đất. Miêu tả con người sống trong thế giới, giữa vũ trụ bao la.",,,戴天蹐地,,"""《Dịch - Khôn》 có câu 'Trời huyền, đất hoàng'. Minh - Lưu Cơ trong 'Hải Ninh Ứng Thị Mộ Am Ký': 'Đã già rồi, đã khỏe, đội giày huyền, mang giày vàng, tám mươi bảy tuổi.'""",
